Ek		,	Ra			,	Nu	  
1e-5	,	4.18e7		,	1.73
1e-5	,	4.64e7		,	2.51
1e-5	,	5.57e7		,	5.17
1e-5	,	6.96e7		,	9.75
1e-5	,	9.27e7		,	16.1
1e-5	,	1.16e8		,	21.9
1e-5	,	1.39e8		,	27.1
1e-5	,	1.86e8		,	35.7
1e-5	,	2.32e8		,	42.2
1e-5	,	3.25e8		,	50.7
1e-6	,	9.00e8		,	1.44
1e-6	,	1.00e9		,	1.94
1e-6	,	1.20e9		,	3.81
1e-6	,	1.50e9		,	8.90
1e-6	,	2.00e9		,	18.6
1e-6	,	2.50e9		,	28.7
1e-6	,	3.00e9		,	39.7
1e-6	,	4.00e9		,	58.5
1e-6	,	5.00e9		,	71.9
1e-6	,	7.00e9		,	88.0
1e-7	,	2.15e10		,	16.8
1e-7	,	2.59e10		,	27.6
1e-7	,	3.23e10		,	58.4
1e-7	,	4.31e10		,	16.9
1e-7	,	5.39e10		,	42.2
1e-7	,	6.46e10		,	72.9
1e-7	,	8.62e10		,	77.1
1e-7	,	1.08e11		,	88.4
1e-7	,	1.51e11		,	122.0
